season_code,division,team,played,wins,draws,losses,goals_for,goals_against,goal_diff,points,position
2425,E0,Liverpool,38,25,9,4,86,41,45,84,1
2425,E0,Arsenal,38,20,14,4,69,34,35,74,2
2425,E0,Man City,38,21,8,9,72,44,28,71,3
2425,E0,Chelsea,38,20,9,9,64,43,21,69,4
2425,E0,Newcastle,38,20,6,12,68,47,21,66,5
2425,E0,Aston Villa,38,19,9,10,58,51,7,66,6
2425,E0,Nott'm Forest,38,19,8,11,58,46,12,65,7
2425,E0,Brighton,38,16,13,9,66,59,7,61,8
2425,E0,Bournemouth,38,15,11,12,58,46,12,56,9
2425,E0,Brentford,38,16,8,14,66,57,9,56,10
2425,E0,Fulham,38,15,9,14,54,54,0,54,11
2425,E0,Crystal Palace,38,13,14,11,51,51,0,53,12
2425,E0,Everton,38,11,15,12,42,44,-2,48,13
2425,E0,West Ham,38,11,10,17,46,62,-16,43,14
2425,E0,Man United,38,11,9,18,44,54,-10,42,15
2425,E0,Wolves,38,12,6,20,54,69,-15,42,16
2425,E0,Tottenham,38,11,5,22,64,65,-1,38,17
2425,E0,Leicester,38,6,7,25,33,80,-47,25,18
2425,E0,Ipswich,38,4,10,24,36,82,-46,22,19
2425,E0,Southampton,38,2,6,30,26,86,-60,12,20
2425,SP1,Barcelona,38,28,4,6,102,39,63,88,1
2425,SP1,Real Madrid,38,26,6,6,78,38,40,84,2
2425,SP1,Ath Madrid,38,22,10,6,68,30,38,76,3
2425,SP1,Ath Bilbao,38,19,13,6,54,29,25,70,4
2425,SP1,Villarreal,38,20,10,8,71,51,20,70,5
2425,SP1,Betis,38,16,12,10,57,50,7,60,6
2425,SP1,Celta,38,16,7,15,59,57,2,55,7
2425,SP1,Osasuna,38,12,16,10,48,52,-4,52,8
2425,SP1,Vallecano,38,13,13,12,41,45,-4,52,9
2425,SP1,Mallorca,38,13,9,16,35,44,-9,48,10
2425,SP1,Valencia,38,11,13,14,44,54,-10,46,11
2425,SP1,Sociedad,38,13,7,18,35,46,-11,46,12
2425,SP1,Getafe,38,11,9,18,34,39,-5,42,13
2425,SP1,Alaves,38,10,12,16,38,48,-10,42,14
2425,SP1,Espanol,38,11,9,18,40,51,-11,42,15
2425,SP1,Sevilla,38,10,11,17,42,55,-13,41,16
2425,SP1,Girona,38,11,8,19,44,60,-16,41,17
2425,SP1,Leganes,38,9,13,16,39,56,-17,40,18
2425,SP1,Las Palmas,38,8,8,22,40,61,-21,32,19
2425,SP1,Valladolid,38,4,4,30,26,90,-64,16,20
2526,E0,Arsenal,38,26,7,5,71,27,44,85,1
2526,E0,Man City,38,23,9,6,77,35,42,78,2
2526,E0,Man United,38,20,11,7,69,50,19,71,3
2526,E0,Aston Villa,38,19,8,11,56,49,7,65,4
2526,E0,Liverpool,38,17,9,12,63,53,10,60,5
2526,E0,Bournemouth,38,13,18,7,58,54,4,57,6
2526,E0,Sunderland,38,14,12,12,42,48,-6,54,7
2526,E0,Brighton,38,14,11,13,52,46,6,53,8
2526,E0,Brentford,38,14,11,13,55,52,3,53,9
2526,E0,Chelsea,38,14,10,14,58,52,6,52,10
2526,E0,Fulham,38,15,7,16,47,51,-4,52,11
2526,E0,Newcastle,38,14,7,17,53,55,-2,49,12
2526,E0,Everton,38,13,10,15,47,50,-3,49,13
2526,E0,Leeds,38,11,14,13,49,56,-7,47,14
2526,E0,Crystal Palace,38,11,12,15,41,51,-10,45,15
2526,E0,Nott'm Forest,38,11,11,16,48,51,-3,44,16
2526,E0,Tottenham,38,10,11,17,48,57,-9,41,17
2526,E0,West Ham,38,10,9,19,46,65,-19,39,18
2526,E0,Burnley,38,4,10,24,38,75,-37,22,19
2526,E0,Wolves,38,3,11,24,27,68,-41,20,20
2526,SP1,Barcelona,38,31,1,6,95,36,59,94,1
2526,SP1,Real Madrid,38,27,5,6,77,35,42,86,2
2526,SP1,Villarreal,38,22,6,10,72,46,26,72,3
2526,SP1,Ath Madrid,38,21,6,11,62,44,18,69,4
2526,SP1,Betis,38,15,15,8,59,48,11,60,5
2526,SP1,Celta,38,14,12,12,53,48,5,54,6
2526,SP1,Getafe,38,15,6,17,32,38,-6,51,7
2526,SP1,Vallecano,38,12,14,12,41,44,-3,50,8
